"Step","new_test1416 - actor/grad_norm","new_test1416 - actor/grad_norm__MIN","new_test1416 - actor/grad_norm__MAX"
"1","13.399951934814453","13.399951934814453","13.399951934814453"
"2","12.731926918029785","12.731926918029785","12.731926918029785"
"3","11.370278358459473","11.370278358459473","11.370278358459473"
"4","14.70500373840332","14.70500373840332","14.70500373840332"
"5","15.073854446411133","15.073854446411133","15.073854446411133"
"6","20.824260711669922","20.824260711669922","20.824260711669922"
"7","13.819416046142578","13.819416046142578","13.819416046142578"
"8","11.15227222442627","11.15227222442627","11.15227222442627"
"9","13.941015243530273","13.941015243530273","13.941015243530273"
"10","32.117977142333984","32.117977142333984","32.117977142333984"
"11","40.74269485473633","40.74269485473633","40.74269485473633"
"12","18.781862258911133","18.781862258911133","18.781862258911133"
"13","27.39397621154785","27.39397621154785","27.39397621154785"
"14","31.609275817871094","31.609275817871094","31.609275817871094"
"15","10.182456970214844","10.182456970214844","10.182456970214844"
"16","30.767736434936523","30.767736434936523","30.767736434936523"
"17","54.12377166748047","54.12377166748047","54.12377166748047"
"18","28.091991424560547","28.091991424560547","28.091991424560547"
"19","7.201106548309326","7.201106548309326","7.201106548309326"
"20","14.780009269714355","14.780009269714355","14.780009269714355"
"21","15.200088500976562","15.200088500976562","15.200088500976562"
"22","7.728988170623779","7.728988170623779","7.728988170623779"
"23","12.578512191772461","12.578512191772461","12.578512191772461"
"24","19.733379364013672","19.733379364013672","19.733379364013672"
"25","21.037315368652344","21.037315368652344","21.037315368652344"
"26","39.5850830078125","39.5850830078125","39.5850830078125"
"27","19.892847061157227","19.892847061157227","19.892847061157227"
"28","14.125467300415039","14.125467300415039","14.125467300415039"
"29","13.953364372253418","13.953364372253418","13.953364372253418"
"30","6.5245795249938965","6.5245795249938965","6.5245795249938965"
"31","9.629517555236816","9.629517555236816","9.629517555236816"
"32","17.26041030883789","17.26041030883789","17.26041030883789"
"33","19.65712547302246","19.65712547302246","19.65712547302246"