"Step","new_test1416 - actor/kl_loss","new_test1416 - actor/kl_loss__MIN","new_test1416 - actor/kl_loss__MAX"
"1","0.0016135891200974584","0.0016135891200974584","0.0016135891200974584"
"2","0.0012603311333805323","0.0012603311333805323","0.0012603311333805323"
"3","0.003528306959196925","0.003528306959196925","0.003528306959196925"
"4","0.009563224390149117","0.009563224390149117","0.009563224390149117"
"5","0.01478958036750555","0.01478958036750555","0.01478958036750555"
"6","0.07282756268978119","0.07282756268978119","0.07282756268978119"
"7","0.09135867655277252","0.09135867655277252","0.09135867655277252"
"8","0.11173662543296814","0.11173662543296814","0.11173662543296814"
"9","0.1117771714925766","0.1117771714925766","0.1117771714925766"
"10","0.11988247185945511","0.11988247185945511","0.11988247185945511"
"11","0.16646867990493774","0.16646867990493774","0.16646867990493774"
"12","0.13815921545028687","0.13815921545028687","0.13815921545028687"
"13","0.1787896454334259","0.1787896454334259","0.1787896454334259"
"14","0.1522572785615921","0.1522572785615921","0.1522572785615921"
"15","0.10864540934562683","0.10864540934562683","0.10864540934562683"
"16","0.1260063648223877","0.1260063648223877","0.1260063648223877"
"17","0.11848659068346024","0.11848659068346024","0.11848659068346024"
"18","0.14327190816402435","0.14327190816402435","0.14327190816402435"
"19","0.22902007400989532","0.22902007400989532","0.22902007400989532"
"20","0.13033819198608398","0.13033819198608398","0.13033819198608398"
"21","0.11816201359033585","0.11816201359033585","0.11816201359033585"
"22","0.10799802094697952","0.10799802094697952","0.10799802094697952"
"23","0.08360803872346878","0.08360803872346878","0.08360803872346878"
"24","0.13165989518165588","0.13165989518165588","0.13165989518165588"
"25","0.15829335153102875","0.15829335153102875","0.15829335153102875"
"26","0.16391128301620483","0.16391128301620483","0.16391128301620483"
"27","0.09301990270614624","0.09301990270614624","0.09301990270614624"
"28","0.14272554218769073","0.14272554218769073","0.14272554218769073"
"29","0.10612122714519501","0.10612122714519501","0.10612122714519501"
"30","0.07980834692716599","0.07980834692716599","0.07980834692716599"
"31","0.05084790289402008","0.05084790289402008","0.05084790289402008"
"32","0.13440346717834473","0.13440346717834473","0.13440346717834473"
"33","0.12736541032791138","0.12736541032791138","0.12736541032791138"