"Step","new_test1416 - critic/rewards/mean","new_test1416 - critic/rewards/mean__MIN","new_test1416 - critic/rewards/mean__MAX"
"1","-2.4789061546325684","-2.4789061546325684","-2.4789061546325684"
"2","-2.762500047683716","-2.762500047683716","-2.762500047683716"
"3","-2.637500047683716","-2.637500047683716","-2.637500047683716"
"4","-2.215625047683716","-2.215625047683716","-2.215625047683716"
"5","-2.55078125","-2.55078125","-2.55078125"
"6","-0.9843750596046448","-0.9843750596046448","-0.9843750596046448"
"7","-2.292187452316284","-2.292187452316284","-2.292187452316284"
"8","-2.344531297683716","-2.344531297683716","-2.344531297683716"
"9","-2.8414063453674316","-2.8414063453674316","-2.8414063453674316"
"10","-2.0554685592651367","-2.0554685592651367","-2.0554685592651367"
"11","-1.9398436546325684","-1.9398436546325684","-1.9398436546325684"
"12","-0.778124988079071","-0.778124988079071","-0.778124988079071"
"13","-1.1257812976837158","-1.1257812976837158","-1.1257812976837158"
"14","-1.9054689407348633","-1.9054689407348633","-1.9054689407348633"
"15","-1.90625","-1.90625","-1.90625"
"16","-1.3710936307907104","-1.3710936307907104","-1.3710936307907104"
"17","-1.6109375953674316","-1.6109375953674316","-1.6109375953674316"
"18","-1.8453123569488525","-1.8453123569488525","-1.8453123569488525"
"19","-0.9625000357627869","-0.9625000357627869","-0.9625000357627869"
"20","-1.3437501192092896","-1.3437501192092896","-1.3437501192092896"
"21","-1.5906249284744263","-1.5906249284744263","-1.5906249284744263"
"22","-0.62890625","-0.62890625","-0.62890625"
"23","-1.114843726158142","-1.114843726158142","-1.114843726158142"
"24","0.18828128278255463","0.18828128278255463","0.18828128278255463"
"25","-0.14765623211860657","-0.14765623211860657","-0.14765623211860657"
"26","-1.1117186546325684","-1.1117186546325684","-1.1117186546325684"
"27","-0.2757812440395355","-0.2757812440395355","-0.2757812440395355"
"28","-1.0382813215255737","-1.0382813215255737","-1.0382813215255737"
"29","-0.20703125","-0.20703125","-0.20703125"
"30","-0.9828124642372131","-0.9828124642372131","-0.9828124642372131"
"31","-0.6359374523162842","-0.6359374523162842","-0.6359374523162842"
"32","-0.6406250596046448","-0.6406250596046448","-0.6406250596046448"
"33","-0.22187498211860657","-0.22187498211860657","-0.22187498211860657"