Step,long_run - critic/advantages/mean,long_run - critic/advantages/mean__MIN,long_run - critic/advantages/mean__MAX
1,-1.59E-07,-1.59E-07,-1.59E-07
2,-5.35E-08,-5.35E-08,-5.35E-08
3,-9.95E-09,-9.95E-09,-9.95E-09
4,6.130851826213757e-9,6.130851826213757e-9,6.130851826213757e-9
5,2.099861440285622e-8,2.099861440285622e-8,2.099861440285622e-8
6,-4.32E-08,-4.32E-08,-4.32E-08
7,-8.59E-08,-8.59E-08,-8.59E-08
8,3.188553643340697e-9,3.188553643340697e-9,3.188553643340697e-9
9,-7.56E-08,-7.56E-08,-7.56E-08
10,-1.07E-07,-1.07E-07,-1.07E-07
11,-4.24E-08,-4.24E-08,-4.24E-08
12,-1.04E-08,-1.04E-08,-1.04E-08
13,5.0955033970012664e-8,5.0955033970012664e-8,5.0955033970012664e-8
14,-5.39E-08,-5.39E-08,-5.39E-08
15,-1.12E-08,-1.12E-08,-1.12E-08
16,3.3121875020469815e-8,3.3121875020469815e-8,3.3121875020469815e-8
17,-2.53E-08,-2.53E-08,-2.53E-08
18,2.4122787323221928e-8,2.4122787323221928e-8,2.4122787323221928e-8
19,3.5587987667895504e-8,3.5587987667895504e-8,3.5587987667895504e-8
20,1.124779700489853e-7,1.124779700489853e-7,1.124779700489853e-7
21,-9.07E-09,-9.07E-09,-9.07E-09
22,2.3568778928506617e-8,2.3568778928506617e-8,2.3568778928506617e-8
23,-1.30E-08,-1.30E-08,-1.30E-08
24,4.5198415676850345e-8,4.5198415676850345e-8,4.5198415676850345e-8
25,-1.02E-07,-1.02E-07,-1.02E-07
26,9.863925676256713e-9,9.863925676256713e-9,9.863925676256713e-9
27,2.572118873445106e-8,2.572118873445106e-8,2.572118873445106e-8
28,1.096108626086334e-8,1.096108626086334e-8,1.096108626086334e-8
29,3.924299107893603e-8,3.924299107893603e-8,3.924299107893603e-8
30,9.80730252564399e-9,9.80730252564399e-9,9.80730252564399e-9
31,1.1383061604419709e-8,1.1383061604419709e-8,1.1383061604419709e-8
32,3.4648441893381232e-9,3.4648441893381232e-9,3.4648441893381232e-9
33,4.373344353325592e-9,4.373344353325592e-9,4.373344353325592e-9
34,-2.35E-09,-2.35E-09,-2.35E-09
35,1.6739766239837195e-9,1.6739766239837195e-9,1.6739766239837195e-9
36,-6.48E-09,-6.48E-09,-6.48E-09
37,2.5683956295097232e-8,2.5683956295097232e-8,2.5683956295097232e-8
38,3.7961601861979943e-8,3.7961601861979943e-8,3.7961601861979943e-8
39,-2.33E-08,-2.33E-08,-2.33E-08
40,-4.55E-09,-4.55E-09,-4.55E-09
41,4.11434406544231e-8,4.11434406544231e-8,4.11434406544231e-8
42,3.041877860709974e-9,3.041877860709974e-9,3.041877860709974e-9
43,3.758401145859125e-9,3.758401145859125e-9,3.758401145859125e-9
44,8.749305280275621e-9,8.749305280275621e-9,8.749305280275621e-9
45,-1.26E-08,-1.26E-08,-1.26E-08
46,2.69666475816166e-8,2.69666475816166e-8,2.69666475816166e-8
47,-3.61E-09,-3.61E-09,-3.61E-09
48,1.2196304410849734e-8,1.2196304410849734e-8,1.2196304410849734e-8
49,1.2431300433490833e-8,1.2431300433490833e-8,1.2431300433490833e-8
50,-6.52E-08,-6.52E-08,-6.52E-08
51,1.6265081725919117e-8,1.6265081725919117e-8,1.6265081725919117e-8
52,-1.91E-09,-1.91E-09,-1.91E-09
53,6.149786901943344e-9,6.149786901943344e-9,6.149786901943344e-9
54,-1.52E-08,-1.52E-08,-1.52E-08
55,1.86800903634321e-8,1.86800903634321e-8,1.86800903634321e-8
56,1.8183742511723722e-8,1.8183742511723722e-8,1.8183742511723722e-8
57,2.8266518015129805e-8,2.8266518015129805e-8,2.8266518015129805e-8
58,2.4967176770473998e-8,2.4967176770473998e-8,2.4967176770473998e-8
59,1.618080602838745e-8,1.618080602838745e-8,1.618080602838745e-8
60,8.56434034801623e-9,8.56434034801623e-9,8.56434034801623e-9
61,1.2062919552136009e-9,1.2062919552136009e-9,1.2062919552136009e-9
62,-9.72E-09,-9.72E-09,-9.72E-09
63,-1.14E-08,-1.14E-08,-1.14E-08
64,-2.48E-08,-2.48E-08,-2.48E-08
65,-5.58E-08,-5.58E-08,-5.58E-08
66,-3.58E-08,-3.58E-08,-3.58E-08
67,-1.43E-08,-1.43E-08,-1.43E-08
68,-3.43E-09,-3.43E-09,-3.43E-09
69,1.6954359027820942e-9,1.6954359027820942e-9,1.6954359027820942e-9
70,-1.76E-08,-1.76E-08,-1.76E-08
71,-1.16E-08,-1.16E-08,-1.16E-08
72,4.882634296876631e-9,4.882634296876631e-9,4.882634296876631e-9
73,-3.50E-08,-3.50E-08,-3.50E-08
74,-1.84E-08,-1.84E-08,-1.84E-08
75,-1.04E-08,-1.04E-08,-1.04E-08
76,-3.52E-09,-3.52E-09,-3.52E-09
77,2.1062801280891108e-8,2.1062801280891108e-8,2.1062801280891108e-8
78,-1.79E-08,-1.79E-08,-1.79E-08
79,1.1994457871367104e-8,1.1994457871367104e-8,1.1994457871367104e-8
80,2.552713418424446e-8,2.552713418424446e-8,2.552713418424446e-8
81,-1.15E-08,-1.15E-08,-1.15E-08
82,-1.12E-07,-1.12E-07,-1.12E-07
83,2.5354143229350257e-9,2.5354143229350257e-9,2.5354143229350257e-9
84,3.9150069852667e-8,3.9150069852667e-8,3.9150069852667e-8
85,2.5445276108371218e-8,2.5445276108371218e-8,2.5445276108371218e-8
86,6.4525136345139344e-9,6.4525136345139344e-9,6.4525136345139344e-9